,date,year,month,strip_cat_1,strip_cdd_1,strip_hdd_1,strip_cat_continuous,strip_cdd_continuous,strip_hdd_continuous,strip_ot_continuous,temperature_2m_avg,ms,strip_cat_2,strip_cdd_2,strip_hdd_2,strip_cat_3,strip_cdd_3,strip_hdd_3,strip_cat_4,strip_cdd_4,strip_hdd_4,strip_cat_5,strip_cdd_5,strip_hdd_5,strip_cat_6,strip_cdd_6,strip_hdd_6,strip_cat_7,strip_cdd_7,strip_hdd_7,strip_cat_8,strip_cdd_8,strip_hdd_8,strip_cat_9,strip_cdd_9,strip_hdd_9,strip_cat_10,strip_cdd_10,strip_hdd_10,strip_cat_11,strip_cdd_11,strip_hdd_11,strip_cat_12,strip_cdd_12,strip_hdd_12,strip_cat_continuous_payoff,strip_cdd_continuous_payoff,strip_hdd_continuous_payoff,strip_ot_continuous_payoff
0,2018-01-01,2018,1,1604.0220449215353,0.0,9195.977955078466,1604.0220449215353,0.0,9195.977955078466,9195.977955078466,6.5,"[5.41193139 4.84183347 4.7729025  4.61987827 4.15562112 3.87730395
 3.58598744 3.28582565 3.06697572 2.89935655 2.80684868 2.5425982
 2.26523877 2.07336872 2.02905402 1.93958264 1.93717488 1.89114063
 1.86315969 1.97164905 1.94416917 1.91786379 1.81408573 1.8671242
 1.74557951 1.72183282 1.77204563 1.83183608 1.88048534 1.86864862]",1433.3119147646548,0.0,8286.688085235346,3148.116476464118,0.0,7651.883523535882,5385.751037528872,0.4053229547935874,5054.654285425921,8171.02059722093,41.237774432819805,2670.217177211891,9953.903328107419,425.39558691369666,911.4922588062769,11358.277748649478,920.023016626634,361.7452679771569,10907.273534472533,618.5930615507307,511.3195270781977,8934.069282136828,100.3337411231523,1606.2644589863228,6874.851699142771,1.9743417623967316,3927.1226426196263,4050.4782249750747,0.0,6389.521775024925,2042.6016787805079,0.0,8757.39832121949,0.0,0.0,0.0,0.0
1,2018-01-02,2018,1,1625.783417154159,0.0,9174.21658284584,1625.783417154159,0.0,9174.21658284584,9174.21658284584,4.15,"[5.41193139 4.84183347 4.7729025  4.61987827 4.15562112 3.87730395
 3.58598744 3.28582565 3.06697572 2.89935655 2.80684868 2.5425982
 2.26523877 2.07336872 2.02905402 1.93958264 1.93717488 1.89114063
 1.86315969 1.97164905 1.94416917 1.91786379 1.81408573 1.8671242
 1.74557951 1.72183282 1.77204563 1.83183608 1.88048534 1.86864862]",1433.3119147646548,0.0,8286.688085235346,3148.116476464118,0.0,7651.883523535882,5385.751037528872,0.4053229547935874,5054.654285425921,8171.02059722093,41.237774432819805,2670.217177211891,9953.903328107419,425.39558691369666,911.4922588062769,11358.277748649478,920.023016626634,361.7452679771569,10907.273534472533,618.5930615507307,511.3195270781977,8934.069282136828,100.3337411231523,1606.2644589863228,6874.851699142771,1.9743417623967316,3927.1226426196263,4050.4782249750747,0.0,6389.521775024925,2042.6016787805079,0.0,8757.39832121949,21.76137223262367,0.0,-21.761372232625945,-21.761372232625945
2,2018-01-03,2018,1,1611.9467476771977,0.0,9188.053252322803,1611.9467476771977,0.0,9188.053252322803,9188.053252322803,5.75,"[5.41193139 4.84183347 4.7729025  4.61987827 4.15562112 3.87730395
 3.58598744 3.28582565 3.06697572 2.89935655 2.80684868 2.5425982
 2.26523877 2.07336872 2.02905402 1.93958264 1.93717488 1.89114063
 1.86315969 1.97164905 1.94416917 1.91786379 1.81408573 1.8671242
 1.74557951 1.72183282 1.77204563 1.83183608 1.88048534 1.86864862]",1433.3119147646548,0.0,8286.688085235346,3148.116476464118,0.0,7651.883523535882,5385.751037528872,0.4053229547935874,5054.654285425921,8171.02059722093,41.237774432819805,2670.217177211891,9953.903328107419,425.39558691369666,911.4922588062769,11358.277748649478,920.023016626634,361.7452679771569,10907.273534472533,618.5930615507307,511.3195270781977,8934.069282136828,100.3337411231523,1606.2644589863228,6874.851699142771,1.9743417623967316,3927.1226426196263,4050.4782249750747,0.0,6389.521775024925,2042.6016787805079,0.0,8757.39832121949,-13.836669476961333,0.0,13.836669476962925,13.836669476962925
3,2018-01-04,2018,1,1631.4886975790362,0.0,9168.511302420964,1631.4886975790362,0.0,9168.511302420964,9168.511302420964,5.949999999999999,"[5.41193139 4.84183347 4.7729025  4.61987827 4.15562112 3.87730395
 3.58598744 3.28582565 3.06697572 2.89935655 2.80684868 2.5425982
 2.26523877 2.07336872 2.02905402 1.93958264 1.93717488 1.89114063
 1.86315969 1.97164905 1.94416917 1.91786379 1.81408573 1.8671242
 1.74557951 1.72183282 1.77204563 1.83183608 1.88048534 1.86864862]",1433.3119147646548,0.0,8286.688085235346,3148.116476464118,0.0,7651.883523535882,5385.751037528872,0.4053229547935874,5054.654285425921,8171.02059722093,41.237774432819805,2670.217177211891,9953.903328107419,425.39558691369666,911.4922588062769,11358.277748649478,920.023016626634,361.7452679771569,10907.273534472533,618.5930615507307,511.3195270781977,8934.069282136828,100.3337411231523,1606.2644589863228,6874.851699142771,1.9743417623967316,3927.1226426196263,4050.4782249750747,0.0,6389.521775024925,2042.6016787805079,0.0,8757.39832121949,19.541949901838507,0.0,-19.54194990183896,-19.54194990183896
4,2018-01-05,2018,1,1658.0911321410624,0.0,9141.908867858936,1658.0911321410624,0.0,9141.908867858936,9141.908867858936,5.85,"[5.41193139 4.84183347 4.7729025  4.61987827 4.15562112 3.87730395
 3.58598744 3.28582565 3.06697572 2.89935655 2.80684868 2.5425982
 2.26523877 2.07336872 2.02905402 1.93958264 1.93717488 1.89114063
 1.86315969 1.97164905 1.94416917 1.91786379 1.81408573 1.8671242
 1.74557951 1.72183282 1.77204563 1.83183608 1.88048534 1.86864862]",1433.3119147646548,0.0,8286.688085235346,3148.116476464118,0.0,7651.883523535882,5385.751037528872,0.4053229547935874,5054.654285425921,8171.02059722093,41.237774432819805,2670.217177211891,9953.903328107419,425.39558691369666,911.4922588062769,11358.277748649478,920.023016626634,361.7452679771569,10907.273534472533,618.5930615507307,511.3195270781977,8934.069282136828,100.3337411231523,1606.2644589863228,6874.851699142771,1.9743417623967316,3927.1226426196263,4050.4782249750747,0.0,6389.521775024925,2042.6016787805079,0.0,8757.39832121949,26.602434562026247,0.0,-26.602434562028066,-26.602434562028066
5,2018-01-06,2018,1,1691.9787097403603,0.0,9108.02129025964,1691.9787097403603,0.0,9108.02129025964,9108.02129025964,3.75,"[5.41193139 4.84183347 4.7729025  4.61987827 4.15562112 3.87730395
 3.58598744 3.28582565 3.06697572 2.89935655 2.80684868 2.5425982
 2.26523877 2.07336872 2.02905402 1.93958264 1.93717488 1.89114063
 1.86315969 1.97164905 1.94416917 1.91786379 1.81408573 1.8671242
 1.74557951 1.72183282 1.77204563 1.83183608 1.88048534 1.86864862]",1433.3119147646548,0.0,8286.688085235346,3148.116476464118,0.0,7651.883523535882,5385.751037528872,0.4053229547935874,5054.654285425921,8171.02059722093,41.237774432819805,2670.217177211891,9953.903328107419,425.39558691369666,911.4922588062769,11358.277748649478,920.023016626634,361.7452679771569,10907.273534472533,618.5930615507307,511.3195270781977,8934.069282136828,100.3337411231523,1606.2644589863228,6874.851699142771,1.9743417623967316,3927.1226426196263,4050.4782249750747,0.0,6389.521775024925,2042.6016787805079,0.0,8757.39832121949,33.887577599297856,0.0,-33.88757759929649,-33.88757759929649
6,2018-01-07,2018,1,1689.4326306711284,0.0,9110.567369328872,1689.4326306711284,0.0,9110.567369328872,9110.567369328872,-0.6,"[5.41193139 4.84183347 4.7729025  4.61987827 4.15562112 3.87730395
 3.58598744 3.28582565 3.06697572 2.89935655 2.80684868 2.5425982
 2.26523877 2.07336872 2.02905402 1.93958264 1.93717488 1.89114063
 1.86315969 1.97164905 1.94416917 1.91786379 1.81408573 1.8671242
 1.74557951 1.72183282 1.77204563 1.83183608 1.88048534 1.86864862]",1433.3119147646548,0.0,8286.688085235346,3148.116476464118,0.0,7651.883523535882,5385.751037528872,0.4053229547935874,5054.654285425921,8171.02059722093,41.237774432819805,2670.217177211891,9953.903328107419,425.39558691369666,911.4922588062769,11358.277748649478,920.023016626634,361.7452679771569,10907.273534472533,618.5930615507307,511.3195270781977,8934.069282136828,100.3337411231523,1606.2644589863228,6874.851699142771,1.9743417623967316,3927.1226426196263,4050.4782249750747,0.0,6389.521775024925,2042.6016787805079,0.0,8757.39832121949,-2.546079069231837,0.0,2.5460790692322917,2.5460790692322917
7,2018-01-08,2018,1,1605.7128818640306,0.0,9194.28711813597,1605.7128818640306,0.0,9194.28711813597,9194.28711813597,-1.5499999999999998,"[5.41193139 4.84183347 4.7729025  4.61987827 4.15562112 3.87730395
 3.58598744 3.28582565 3.06697572 2.89935655 2.80684868 2.5425982
 2.26523877 2.07336872 2.02905402 1.93958264 1.93717488 1.89114063
 1.86315969 1.97164905 1.94416917 1.91786379 1.81408573 1.8671242
 1.74557951 1.72183282 1.77204563 1.83183608 1.88048534 1.86864862]",1433.3119147646548,0.0,8286.688085235346,3148.116476464118,0.0,7651.883523535882,5385.751037528872,0.4053229547935874,5054.654285425921,8171.02059722093,41.237774432819805,2670.217177211891,9953.903328107419,425.39558691369666,911.4922588062769,11358.277748649478,920.023016626634,361.7452679771569,10907.273534472533,618.5930615507307,511.3195270781977,8934.069282136828,100.3337411231523,1606.2644589863228,6874.851699142771,1.9743417623967316,3927.1226426196263,4050.4782249750747,0.0,6389.521775024925,2042.6016787805079,0.0,8757.39832121949,-83.71974880709786,0.0,83.71974880709786,83.71974880709786
8,2018-01-09,2018,1,1508.9963688694513,0.0,9291.003631130548,1508.9963688694513,0.0,9291.003631130548,9291.003631130548,1.4,"[5.41193139 4.84183347 4.7729025  4.61987827 4.15562112 3.87730395
 3.58598744 3.28582565 3.06697572 2.89935655 2.80684868 2.5425982
 2.26523877 2.07336872 2.02905402 1.93958264 1.93717488 1.89114063
 1.86315969 1.97164905 1.94416917 1.91786379 1.81408573 1.8671242
 1.74557951 1.72183282 1.77204563 1.83183608 1.88048534 1.86864862]",1433.3119147646548,0.0,8286.688085235346,3148.116476464118,0.0,7651.883523535882,5385.751037528872,0.4053229547935874,5054.654285425921,8171.02059722093,41.237774432819805,2670.217177211891,9953.903328107419,425.39558691369666,911.4922588062769,11358.277748649478,920.023016626634,361.7452679771569,10907.273534472533,618.5930615507307,511.3195270781977,8934.069282136828,100.3337411231523,1606.2644589863228,6874.851699142771,1.9743417623967316,3927.1226426196263,4050.4782249750747,0.0,6389.521775024925,2042.6016787805079,0.0,8757.39832121949,-96.71651299457926,0.0,96.7165129945788,96.7165129945788
9,2018-01-10,2018,1,1475.6568545316043,0.0,9324.343145468396,1475.6568545316043,0.0,9324.343145468396,9324.343145468396,2.6,"[5.41193139 4.84183347 4.7729025  4.61987827 4.15562112 3.87730395
 3.58598744 3.28582565 3.06697572 2.89935655 2.80684868 2.5425982
 2.26523877 2.07336872 2.02905402 1.93958264 1.93717488 1.89114063
 1.86315969 1.97164905 1.94416917 1.91786379 1.81408573 1.8671242
 1.74557951 1.72183282 1.77204563 1.83183608 1.88048534 1.86864862]",1433.3119147646548,0.0,8286.688085235346,3148.116476464118,0.0,7651.883523535882,5385.751037528872,0.4053229547935874,5054.654285425921,8171.02059722093,41.237774432819805,2670.217177211891,9953.903328107419,425.39558691369666,911.4922588062769,11358.277748649478,920.023016626634,361.7452679771569,10907.273534472533,618.5930615507307,511.3195270781977,8934.069282136828,100.3337411231523,1606.2644589863228,6874.851699142771,1.9743417623967316,3927.1226426196263,4050.4782249750747,0.0,6389.521775024925,2042.6016787805079,0.0,8757.39832121949,-33.33951433784705,0.0,33.339514337847504,33.339514337847504
